"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)","Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)","Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)"
3.8964285714285714,169.06666666666666,6,21.371428571428574,10.2625,40.54166666666667,6.866666666666668,4.642857142857143,14.042857142857141
20,241.6,10.166666666666666,21.371428571428574,10.2625,40.54166666666667,6.866666666666668,4.642857142857143,14.042857142857141
4.25,132.21428571428572,5.22,18.616666666666667,5.283333333333334,43,4.449999999999999,7.44,15.166666666666668
3.8964285714285714,169.06666666666666,6.1499999999999995,21.371428571428574,10.2625,40.54166666666667,6.866666666666668,4.642857142857143,14.042857142857141
5.1000000000000005,207.79999999999998,7.666666666666666,24.074999999999996,13.966666666666665,46.75,6.075,4.642857142857143,19.124999999999996
3.8964285714285714,342.4,6,36.733333333333334,10.2625,40.54166666666667,6.899999999999999,4.642857142857143,15.649999999999999
3.8964285714285714,208.9857142857143,10.314285714285713,32.75714285714285,17.128571428571426,61.81428571428572,10.633333333333333,12.857142857142856,21.657142857142855
3.8964285714285714,169.06666666666666,6,21.371428571428574,10.2625,40.54166666666667,6.866666666666668,4.642857142857143,14.042857142857141
3.471428571428571,155.35714285714283,5.333333333333334,20.471428571428575,10.2,35.65714285714286,8.928571428571427,7.1,14.042857142857141
7.6,310.76,13.049999999999997,30.599999999999998,43.43333333333333,57.45,12,4.642857142857143,20.54
2.5999999999999996,169.18333333333334,7.1000000000000005,21.950000000000003,10.325,42.45,10.300000000000002,2.22,12.983333333333334
5.2,168,6.275,20.166666666666664,6.066666666666666,40.099999999999994,9.866666666666665,3.7,13.633333333333333
3.8964285714285714,169.62857142857143,9.366666666666667,21.371428571428574,18.233333333333334,56.528571428571425,6.783333333333334,4.642857142857143,11.442857142857143
3.516666666666667,173.77142857142854,6.157142857142857,23.9,24.84285714285714,55.74285714285715,10.542857142857143,5.671428571428571,13.757142857142854
2.983333333333334,209.9666666666667,5.133333333333335,12.233333333333334,13.216666666666667,49.58333333333333,8.966666666666669,9.883333333333331,23.683333333333337
13.75,181.075,4.433333333333334,17.325000000000003,6.875,31.449999999999996,4.725,4.642857142857143,11.774999999999999
2.6333333333333333,100.03333333333333,4.533333333333334,14.899999999999999,5.666666666666666,17.03333333333333,4.033333333333333,1.7333333333333334,13.833333333333332
8.18,162.14,4.640000000000001,21.18,10.72,29.46,9.775,2.2,8.2
3.5428571428571423,119.64285714285712,6.557142857142858,24.271428571428565,7.985714285714287,42.91428571428572,4.814285714285714,6.1,11.814285714285715
6.54,185.32000000000002,4.574999999999999,20.480000000000004,3.44,32.75,3.2499999999999996,4.642857142857143,25.46
4.785714285714286,167.7714285714286,5.760000000000002,31.24285714285715,22.166666666666664,44.000000000000014,8.22857142857143,2.7142857142857144,17.357142857142858
6.300000000000001,214.72857142857146,9,23.428571428571427,18.528571428571432,54.5,6.866666666666668,4.642857142857143,14.328571428571427
3.385714285714286,102.04999999999998,6.449999999999999,19.875,13.633333333333333,26.424999999999997,9.35,3.05,27.566666666666666
2.5666666666666664,145.56666666666666,4.640000000000001,24.683333333333337,8.866666666666667,40.98333333333334,6.000000000000001,7.840000000000001,10.799999999999999
3.1,254.59999999999997,5.95,24.733333333333334,9.35,24.300000000000004,8.883333333333333,7.383333333333335,34.05
1.7833333333333332,139.82857142857142,4.0200000000000005,19.314285714285717,6.233333333333334,32.728571428571435,6.628571428571429,4.642857142857143,9.371428571428572
6.949999999999999,141.5,6,13.2,4.75,34.25,3.2,4.642857142857143,13.75
3.8964285714285714,128.1,3.35,30.066666666666666,5.3999999999999995,32.23333333333333,6.366666666666666,4.642857142857143,16.4
2.9333333333333336,120.88333333333333,4.075,18.983333333333334,6.183333333333334,32.31666666666668,3.72,4.642857142857143,8.2
13.814285714285713,211.1,7.766666666666666,24.833333333333332,11.7,39.599999999999994,5.866666666666666,2.4,13.999999999999998
