"Place","Median Household Income (Dollars)","Percent Foreign Born","Percent Living Below 200% Poverty Level","Percent Who Only Speak English at Home","Percent Who Speak Spanish at Home","Percent of Children Living in Poverty","All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Life Expectancy at Birth (Years)","Percent Unemployed","Percent of Adults Who Are Obese","Percent of Adults Who Currently Smoke","Percent of Low Birth Weight Babies Born","Percent of Population with a Disability","Tuberculosis Incidence Rate (Per 100,000 people)","All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)","Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)","Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Gonorrhea Rate (Per 100,000 People)","Homicide Rate (Age-Adjusted; Per 100,000 people)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)","Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)","Percent of High School Students Who Are Obese"
"Fort Worth (Tarrant County), TX",59305.74999999999,15.825,26.474999999999998,71.44,21.34,10.866666666666667,163.23333333333332,169.18333333333334,7.1000000000000005,78.6,6.866666666666665,30.816666666666666,15.766666666666667,8.2,10.14,4.6000000000000005,763.72,97.63333333333335,21.950000000000003,2.3,10.325,126.36666666666667,5.183333333333334,42.45,10.300000000000002,2.22,13.8
"Houston, TX",47820,29.22,32.099999999999994,51.78,38.400000000000006,22.650000000000002,160.39999999999998,168,6.275,78.68,7.25,30.6,16.85,1.6,9.780000000000001,9.87142857142857,730.3499999999999,97.63333333333335,20.166666666666664,2.3,6.066666666666666,186.7,6.564285714285714,40.099999999999994,9.866666666666665,3.7,13.8
"Indianapolis (Marion County), IN",42885.666666666664,8.933333333333334,17.25,86.93333333333334,8.566666666666666,7.55,182.07142857142853,169.62857142857143,9.366666666666667,77.73333333333333,8.825,30.599999999999998,22.5,9.4,13.22,5.7,801.4428571428571,97.63333333333335,21.371428571428574,2.3,18.233333333333334,351.4125,13.4,56.528571428571425,6.783333333333334,4.642857142857143,13.8
"Kansas City, MO",46619,7.619999999999999,31.933333333333334,88.16,6.720000000000001,18.625,189.48571428571427,173.77142857142854,6.157142857142857,76.95714285714286,8.5,32.46666666666667,22.066666666666666,8.742857142857142,12.64,2.95,838.2857142857142,97.63333333333335,23.9,54.38333333333333,24.84285714285714,375.6285714285714,20.44285714285714,55.74285714285715,10.542857142857143,5.671428571428571,13.8
"Las Vegas (Clark County), NV",52505.75,22.25,31,65.56,23.68,13.35,175.45000000000002,209.9666666666667,5.133333333333335,77.68333333333334,11.1,26.78,18.619999999999997,8.3,11.400000000000002,3.7714285714285714,819.9499999999999,130.86666666666667,12.233333333333334,1.3166666666666667,13.216666666666667,126.4,6.02,49.58333333333333,8.966666666666669,9.883333333333331,11.7
"Long Beach, CA",56519,26.766666666666666,16.8,53.76,34.28,6.6,136.29999999999998,181.075,4.433333333333334,82.3,11.5,26.2,16.6,7.633333333333333,9.8,7.1,583.2,97.63333333333335,17.325000000000003,2.3,6.875,170.92000000000002,5.45,31.449999999999996,4.725,4.642857142857143,13.8
"Los Angeles, CA",50453.8,38.019999999999996,32.275,39.84,42.98,20.299999999999997,85.83333333333333,100.03333333333333,4.533333333333334,81.8,9.85,21.6,13.4,7.166666666666667,9.8,7.333333333333333,348.4,47.16666666666666,14.899999999999999,2.45,5.666666666666666,207.00000000000003,5.95,17.03333333333333,4.033333333333333,1.7333333333333334,14.033333333333333
"Miami (Miami-Dade County), FL",43936.75,52.349999999999994,37,27.040000000000003,64.36,12.433333333333334,137.66,162.14,4.640000000000001,80,9.966666666666667,26.55,12.3,8.774999999999999,10.320000000000002,5.52,616.1,61.2,21.18,1.6333333333333333,10.72,97.15714285714284,8.96,29.46,9.775,2.2,11.05
"Minneapolis, MN",51956.8,15.680000000000001,30.074999999999996,78.56,8,14.6,175.92857142857144,119.64285714285712,6.557142857142858,78.68,7.8,21.299999999999997,16.85,7.84,10.659999999999998,8.2,778.6571428571428,89.6,24.271428571428565,2.25,7.985714285714287,186.7,6.757142857142858,42.91428571428572,4.814285714285714,6.1,13.8
"New York City, NY",54144.40000000001,37.38,28.975,50.84,24.539999999999996,18.124999999999996,151.73999999999998,185.32000000000002,4.574999999999999,81.08333333333334,9.566666666666666,24.020000000000003,14.920000000000002,8.366666666666665,10.48,7.660000000000001,594,126.1,20.480000000000004,0.7666666666666666,3.44,170.35000000000002,4.8999999999999995,32.75,3.2499999999999996,4.642857142857143,11.933333333333332
