"Place","Median Household Income (Dollars)","Percent Foreign Born","Percent Living Below 200% Poverty Level","Percent Who Only Speak English at Home","Percent Who Speak Spanish at Home","Percent of 3 and 4 Year Olds Currently Enrolled in Preschool","Percent of Children Living in Poverty","Percent of High School Graduates (Over Age 18)","Percent of Households Whose Housing Costs Exceed 35% of Income","Percent of Population 65 and Over","Percent of Population Under 18","Percent of Population Uninsured","Total Population (People)","AIDS Diagnoses Rate (Per 100,000 people)","All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Bike Score","HIV Diagnoses Rate (Per 100,000 people)","HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Life Expectancy at Birth (Years)","Percent Unemployed","Percent of Adults 65 and Over Who Received Pneumonia Vaccine","Percent of Adults Who Are Obese","Percent of Adults Who Binge Drank","Percent of Adults Who Currently Smoke","Percent of Adults Who Meet CDC-Recommended Physical Activity Levels","Percent of High School Students Who Binge Drank","Percent of High School Students Who Currently Smoke","Percent of Low Birth Weight Babies Born","Percent of Population with a Disability","Persons Living with HIV/AIDS Rate (Per 100,000 people)","Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)","Transit Score","Tuberculosis Incidence Rate (Per 100,000 people)","Walkability","All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)","Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)","Chlamydia Rate (Per 100,000 People)","Congenital Syphilis Rate (Per 100,000 Live Births)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)","Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Gonorrhea Rate (Per 100,000 People)","Homicide Rate (Age-Adjusted; Per 100,000 people)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)","Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)","Percent of Adults Who Received Seasonal Flu Shot","Percent of Children (Tested) Under Age 6 with Elevated Blood Lead Levels","Percent of High School Students Who Are Obese","Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels","Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)","Primary and Secondary Syphilis Rate (Per 100,000 People)","Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)","Suicide Rate (Age-Adjusted; Per 100,000 people)","Percent of Children Who Received Seasonal Flu Shot"
"Fort Worth (Tarrant County), TX",59305.74999999999,15.825,26.474999999999998,71.44,21.34,40.2,10.866666666666667,40.125,22.099999999999998,10.2,27.099999999999998,18.52,1947284.8000000003,2.6666666666666665,163.23333333333332,57,9.733333333333334,2.5999999999999996,169.18333333333334,7.1000000000000005,78.6,6.866666666666665,73.55,30.816666666666666,16.433333333333334,15.766666666666667,43.96666666666667,14.5,9,8.2,10.14,241.1333333333333,20.233333333333334,51,4.6000000000000005,69,763.72,97.63333333333335,650.1499999999999,16.330952380952382,21.950000000000003,2.3,10.325,126.36666666666667,5.183333333333334,42.45,10.300000000000002,2.22,41.3,2.6857142857142855,13.8,24.5,12.983333333333334,17.299999999999997,2.6500000000000004,11.150000000000002,48.1
"Houston, TX",47820,29.22,32.099999999999994,51.78,38.400000000000006,42.00000000000001,22.650000000000002,45.14,26.650000000000002,9.74,25.32,25.400000000000002,2240574.4,17.71666666666667,160.39999999999998,49,31.3,5.2,168,6.275,78.68,7.25,65.4,30.6,16.4,16.85,45.300000000000004,32,11.8,1.6,9.780000000000001,536.9833333333333,10.166666666666666,37,9.87142857142857,69,730.3499999999999,97.63333333333335,650.1499999999999,16.330952380952382,20.166666666666664,2.3,6.066666666666666,186.7,6.564285714285714,40.099999999999994,9.866666666666665,3.7,33.266666666666666,1.05,13.8,21.25,13.633333333333333,17.299999999999997,0.6,10.399999999999999,48.1
"Indianapolis (Marion County), IN",42885.666666666664,8.933333333333334,17.25,86.93333333333334,8.566666666666666,43.599999999999994,7.55,28.53333333333333,18.5,11.533333333333333,24.93333333333333,12.1,938164,12.033333333333333,182.07142857142853,57,23.299999999999997,3.8964285714285714,169.62857142857143,9.366666666666667,77.73333333333333,8.825,65.13333333333333,30.599999999999998,15,22.5,33.15,14.133333333333333,8.274999999999999,9.4,13.22,468.2333333333333,9.033333333333333,51,5.7,69,801.4428571428571,97.63333333333335,953.7125000000001,16.330952380952382,21.371428571428574,2.3,18.233333333333334,351.4125,13.4,56.528571428571425,6.783333333333334,4.642857142857143,35.13333333333333,4.6,13.8,21.25,11.442857142857143,12.985714285714286,1.1724999999999999,13.160000000000002,48.1
"Kansas City, MO",46619,7.619999999999999,31.933333333333334,88.16,6.720000000000001,39.96,18.625,51.720000000000006,23,12.060000000000002,23.5,14.340000000000002,471793,13.385714285714286,189.48571428571427,40,16.457142857142856,3.516666666666667,173.77142857142854,6.157142857142857,76.95714285714286,8.5,75,32.46666666666667,20.799999999999997,22.066666666666666,45.300000000000004,14.133333333333333,8.274999999999999,8.742857142857142,12.64,1064.3571428571427,12.940000000000001,29,2.95,34,838.2857142857142,97.63333333333335,938.8000000000001,9.628571428571428,23.9,54.38333333333333,24.84285714285714,375.6285714285714,20.44285714285714,55.74285714285715,10.542857142857143,5.671428571428571,41.56666666666666,3.5166666666666666,13.8,21.25,13.757142857142854,21.150000000000006,1.8800000000000001,16.433333333333337,48.1
"Las Vegas (Clark County), NV",52505.75,22.25,31,65.56,23.68,32.96,13.35,43.25,27.616666666666667,13.240000000000002,23.900000000000002,17.18,2073754.5999999999,10.257142857142856,175.45000000000002,57,19.671428571428567,2.983333333333334,209.9666666666667,5.133333333333335,77.68333333333334,11.1,66.70000000000002,26.78,14.940000000000001,18.619999999999997,75.98,14.5,6.85,8.3,11.400000000000002,418.61428571428576,8.316666666666666,51,3.7714285714285714,69,819.9499999999999,130.86666666666667,487.8857142857143,33.6,12.233333333333334,1.3166666666666667,13.216666666666667,126.4,6.02,49.58333333333333,8.966666666666669,9.883333333333331,28.86,1.1333333333333333,11.7,22.299999999999997,23.683333333333337,3.1999999999999997,1.2200000000000002,17.616666666666667,48.1
"Long Beach, CA",56519,26.766666666666666,16.8,53.76,34.28,50.96000000000001,6.6,19.466666666666665,35.050000000000004,10.379999999999999,24.080000000000002,14.540000000000003,471037.80000000005,10.525,136.29999999999998,66,22.15,13.75,181.075,4.433333333333334,82.3,11.5,51.95,26.2,20.75,16.6,32.900000000000006,14.133333333333333,8.274999999999999,7.633333333333333,9.8,512.7,10.875,51,7.1,70,583.2,97.63333333333335,605.88,16.330952380952382,17.325000000000003,2.3,6.875,170.92000000000002,5.45,31.449999999999996,4.725,4.642857142857143,42.1,2.6857142857142855,13.8,21.25,11.774999999999999,17.299999999999997,0.2,7.633333333333333,48.1
"Los Angeles, CA",50453.8,38.019999999999996,32.275,39.84,42.98,55.42000000000001,20.299999999999997,42.78,42.28333333333333,11.44,21.72,18.32,3923834.6000000006,13.960000000000003,85.83333333333333,56,30.933333333333337,2.6333333333333333,100.03333333333333,4.533333333333334,81.8,9.85,63.3,21.6,16.4,13.4,29,7.7,6.7,7.166666666666667,9.8,753.0833333333335,11.366666666666667,51,7.333333333333333,67,348.4,47.16666666666666,609.4285714285714,15.428571428571427,14.899999999999999,2.45,5.666666666666666,207.00000000000003,5.95,17.03333333333333,4.033333333333333,1.7333333333333334,32.4,2.4,14.033333333333333,21.233333333333334,13.833333333333332,62,1.0666666666666667,3.9999999999999996,49.7
"Miami (Miami-Dade County), FL",43936.75,52.349999999999994,37,27.040000000000003,64.36,59.940000000000005,12.433333333333334,41,39.9,15.239999999999998,20.68,23.08,2655429.4,25.249999999999996,137.66,57,49.980000000000004,8.18,162.14,4.640000000000001,80,9.966666666666667,54.4,26.55,14.55,12.3,45.300000000000004,17.099999999999998,9.15,8.774999999999999,10.320000000000002,982.8600000000001,23.224999999999998,51,5.52,69,616.1,61.2,398.5571428571428,30.685714285714283,21.18,1.6333333333333333,10.72,97.15714285714284,8.96,29.46,9.775,2.2,25.4,10.6,11.05,38.75,8.2,16.028571428571425,0.56,8.25,48.1
"Minneapolis, MN",51956.8,15.680000000000001,30.074999999999996,78.56,8,50.72,14.6,45.68000000000001,24.85,8.739999999999998,20.040000000000003,9.639999999999999,404942.2,14.366666666666667,175.92857142857144,81,22.1,3.5428571428571423,119.64285714285712,6.557142857142858,78.68,7.8,74.15,21.299999999999997,7.65,16.85,57.7,14.133333333333333,8.274999999999999,7.84,10.659999999999998,782.8666666666666,12.940000000000001,58,8.2,69,778.6571428571428,89.6,650.1499999999999,16.330952380952382,24.271428571428565,2.25,7.985714285714287,186.7,6.757142857142858,42.91428571428572,4.814285714285714,6.1,40.12,2.6857142857142855,13.8,21.25,11.814285714285715,17.299999999999997,1.1724999999999999,11.05,48.1
"New York City, NY",54144.40000000001,37.38,28.975,50.84,24.539999999999996,61.120000000000005,18.124999999999996,46.7,38.68333333333334,12.98,21.200000000000003,11.140000000000002,8464338.200000001,26.049999999999997,151.73999999999998,65,36.166666666666664,6.54,185.32000000000002,4.574999999999999,81.08333333333334,9.566666666666666,55.82,24.020000000000003,17.880000000000003,14.920000000000002,68.3,10.666666666666666,7.5,8.366666666666665,10.48,1391.1,13.524999999999999,85,7.660000000000001,89,594,126.1,737.5333333333334,8.616666666666667,20.480000000000004,0.7666666666666666,3.44,170.35000000000002,4.8999999999999995,32.75,3.2499999999999996,4.642857142857143,41.53999999999999,2.2666666666666666,11.933333333333332,19.966666666666665,25.46,13.55,1.075,6.24,39.22
